% nSim ->    2800
  nExp  nIn  hLS      trFcn    lr    trC
   571  10   10    trainlm  0.05   1000
   572  10   10    trainlm  0.05   5000
   573  10   10    trainlm  0.05  10000
   574  10   10    trainlm  0.05  20000
   575  10   10    trainlm  0.05  50000
   576  10   10    trainlm  0.01   1000
   577  10   10    trainlm  0.01   5000
   578  10   10    trainlm  0.01  10000
   579  10   10    trainlm  0.01  20000
   580  10   10    trainlm  0.01  50000
   581  10   10    traingd  0.20   1000
   582  10   10    traingd  0.20   5000
   583  10   10    traingd  0.20  10000
   584  10   10    traingd  0.20  20000
   585  10   10    traingd  0.20  50000
   586  10   10    traingd  0.10   1000
   587  10   10    traingd  0.10   5000
   588  10   10    traingd  0.10  10000
   589  10   10    traingd  0.10  20000
   590  10   10    traingd  0.10  50000
   591  10   10    traingd  0.05   1000
   592  10   10    traingd  0.05   5000
   593  10   10    traingd  0.05  10000
   594  10   10    traingd  0.05  20000
   595  10   10    traingd  0.05  50000
   596  10   10    traingd  0.01   1000
   597  10   10    traingd  0.01   5000
   598  10   10    traingd  0.01  10000
   599  10   10    traingd  0.01  20000
   600  10   10    traingd  0.01  50000
   601  10   10   traingda  0.20   1000
   602  10   10   traingda  0.20   5000
   603  10   10   traingda  0.20  10000
   604  10   10   traingda  0.20  20000
   605  10   10   traingda  0.20  50000
   606  10   10   traingda  0.10   1000
   607  10   10   traingda  0.10   5000
   608  10   10   traingda  0.10  10000
   609  10   10   traingda  0.10  20000
   610  10   10   traingda  0.10  50000
   611  10   10   traingda  0.05   1000
   612  10   10   traingda  0.05   5000
   613  10   10   traingda  0.05  10000
   614  10   10   traingda  0.05  20000
   615  10   10   traingda  0.05  50000
   616  10   10   traingda  0.01   1000
   617  10   10   traingda  0.01   5000
   618  10   10   traingda  0.01  10000
   619  10   10   traingda  0.01  20000
   620  10   10   traingda  0.01  50000
   621  10   10   traingdx  0.20   1000
   622  10   10   traingdx  0.20   5000
   623  10   10   traingdx  0.20  10000
   624  10   10   traingdx  0.20  20000
   625  10   10   traingdx  0.20  50000
   626  10   10   traingdx  0.10   1000
   627  10   10   traingdx  0.10   5000
   628  10   10   traingdx  0.10  10000
   629  10   10   traingdx  0.10  20000
   630  10   10   traingdx  0.10  50000
   631  10   10   traingdx  0.05   1000
   632  10   10   traingdx  0.05   5000
   633  10   10   traingdx  0.05  10000
   634  10   10   traingdx  0.05  20000
   635  10   10   traingdx  0.05  50000
   636  10   10   traingdx  0.01   1000
   637  10   10   traingdx  0.01   5000
   638  10   10   traingdx  0.01  10000
   639  10   10   traingdx  0.01  20000
   640  10   10   traingdx  0.01  50000
   641  10   10    trainrp  0.20   1000
   642  10   10    trainrp  0.20   5000
   643  10   10    trainrp  0.20  10000
   644  10   10    trainrp  0.20  20000
   645  10   10    trainrp  0.20  50000
   646  10   10    trainrp  0.10   1000
   647  10   10    trainrp  0.10   5000
   648  10   10    trainrp  0.10  10000
   649  10   10    trainrp  0.10  20000
   650  10   10    trainrp  0.10  50000
   651  10   10    trainrp  0.05   1000
   652  10   10    trainrp  0.05   5000
   653  10   10    trainrp  0.05  10000
   654  10   10    trainrp  0.05  20000
   655  10   10    trainrp  0.05  50000
   656  10   10    trainrp  0.01   1000
   657  10   10    trainrp  0.01   5000
   658  10   10    trainrp  0.01  10000
   659  10   10    trainrp  0.01  20000
   660  10   10    trainrp  0.01  50000
   661  10   10   trainscg  0.20   1000
   662  10   10   trainscg  0.20   5000
   663  10   10   trainscg  0.20  10000
