Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000039 12  9  9 19
	000026 12  9 12  9
	000023 12  9 13 11
	000001 12  9 13 12
	000001 12  9 13 13
	000001 12  9 13 14
	000001 12  9 13 15
	000043 12  9 16 11
	000046 12  9 19 11
	000001 13  3 27  8
	000001 13  3 27  9
	000000 13  3 31  3
	000045 13  5 23 13
	000012 13  9 17  9
	000053 13  9 17 10
	000001 13  9 30 14
	000001 13  9 30 15
	000001 13  9 30 16
	000001 13  9 30 17
	000001 13 11 22 13
	000001 13 11 22 14
	000037 14  3  1 14
	000036 14  3  1 15
	000078 14  3 20 22
	000001 14  3 21 10
	000001 14  3 21 11
	000000 14  3 30  3
	000025 14  5  3 24
	000001 14  5  5 18
	000034 14  5 21 13
	000038 14  5 23 16
	000020 14  5 29 16
	000001 14  5 30 10
	000019 14  6 11 11
	000035 14  6 13 17
	000038 14  6 21 13
	000013 14  7 24 10
	000005 14  8 12  9
	000041 14  9  2 21
	000001 14  9 17 13
	000001 14  9 17 14
	000001 14  9 17 15
	000001 14  9 17 16
	000001 14  9 17 17
	000015 14 10 21  8
	000001 14 10 22 11
	000001 14 10 22 12
	000017 14 10 22 14
	000001 14 11 17 10
	000001 14 11 17 11
	000013 14 12 11 10
	000001 14 12 25 21
	000007 15  1  7 11
	000001 15  1  7 12
	000001 15  1  7 13
	000001 15  1  7 14
	000001 15  1  7 15
	000001 15  1  7 16
	000001 15  1  7 17
	000001 15  1  7 18
	000001 15  1  7 19
	000001 15  1  7 20
	000001 15  1  7 21
	000001 15  1  7 22
	000001 15  1  7 23
	000001 15  1  7 24
	000001 15  1  8  1
	000001 15  1  8  2
	000001 15  1  8  3
	000001 15  1  8  4
	000001 15  1  8  5
	000001 15  1  8  6
	000001 15  1  8  7
	000001 15  1  8  8
	000001 15  1  8  9
	000001 15  1  8 10
	000001 15  1  8 11
	000001 15  1  8 12
	000001 15  1  8 13
	000001 15  1  8 14
	000001 15  1  8 15
	000001 15  1  8 16
	000001 15  1  8 17
	000001 15  1  8 18
	000001 15  1  8 19
	000001 15  1  8 20
	000001 15  1  8 21
	000001 15  1  8 22
	000001 15  1  8 23
	000001 15  1  8 24
	000001 15  1  9  1
	000001 15  1  9  2
	000001 15  1  9  3
	000001 15  1  9  4
	000001 15  1  9  5
	000001 15  1  9  6
	000001 15  1  9  7
	000001 15  1  9  8
	000001 15  1  9  9
	000001 15  1  9 10
	000001 15  1  9 11
	000001 15  1  9 12
	000001 15  1  9 13
	000001 15  1  9 14
	000001 15  1  9 15
	000001 15  1  9 16
	000001 15  1  9 17
	000001 15  1  9 18
	000001 15  1  9 19
	000001 15  1  9 20
	000001 15  1  9 21
	000001 15  1  9 22
	000001 15  1  9 23
	000001 15  1  9 24
	000001 15  1 10  1
	000001 15  1 10  2
	000001 15  1 10  3
	000001 15  1 10  4
	000001 15  1 10  5
	000001 15  1 10  6
	000001 15  1 10  7
	000001 15  1 10  8
	000001 15  1 10  9
	000001 15  1 10 10
	000001 15  1 10 11
	000001 15  1 10 12
	000001 15  1 10 13
	000001 15  1 10 14
	000001 15  1 10 15
	000001 15  1 10 16
	000001 15  1 10 17
	000001 15  1 10 18
	000001 15  1 10 19
	000001 15  1 10 20
	000001 15  1 10 21
	000001 15  1 10 22
	000001 15  1 10 23
	000001 15  1 10 24
	000001 15  1 11  1
	000001 15  1 11  2
	000001 15  1 11  3
	000001 15  1 11  4
	000001 15  1 11  5
	000001 15  1 11  6
	000001 15  1 11  7
	000001 15  1 11  8
	000001 15  1 11  9
	000001 15  1 11 10
	000001 15  1 11 11
	000001 15  1 11 12
	000001 15  1 11 13
	000001 15  1 11 14
